Authors,Title,Booktitle,Bookaddress,Year,Volume,Issue,Pages,Chapters,Cited by,Editors,Journals,Publisher,Conference name,Conference date,Conference location,ISBN,Document Type
"Peng F., Tee J. K., Setyawati M. I., Ding X., Yeo H. L. A., Tan Y. L., Leong D. T., Ho H. K.",Inorganic Nanomaterials as Highly Efficient Inhibitors of Cellular Hepatic Fibrosis,,,2018,10,38,31938-31946,,32,,ACS Applied Materials and Interfaces,American Chemical Society,,,,,Article
"Sharma A., Halder S., Felix M., Nisaa K., Deshpande G., Prasad M.",Insulin signaling modulates border cell movement in drosophila oogenesis,,,2018,145,14,,,2,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Oraiopoulou M.-E., Tzamali E., Tzedakis G., Liapis E., Zacharakis G., Vakis A., Papamatheakis J., Sakkalis V.",Integrating in vitro experiments with in silico approaches for Glioblastoma invasion: the role of cell-to-cell adhesion heterogeneity,,,2018,8,1,,,11,,Scientific Reports,Nature Publishing Group,,,,,Article
"Di Russo J., Young J.L., Wegner J.W.R., Steins T., Kessler H., Spatz J.P.",Integrin α5β1 nano-presentation regulates collective keratinocyte migration independent of substrate rigidity,,,2021,10,1,,,1,,eLife,eLife Sciences Publications Ltd,,,,,Article
"Lee S.-N., Ahn J.-S., Lee S.G., Lee H.-S., Choi A.M.K., Yoon J.-H.",Integrins α v 5 and avb6 mediate IL-4-induced collective migration in human airway epithelial cells,,,2019,60,4,420-433,,9,,American Journal of Respiratory Cell and Molecular Biology,American Thoracic Society,,,,,Article
"Pumputis P.G., Braley E., Hamilton M.E., Dayeh V.R., Lee L.E.J., Bols N.C.","Integrity and wound healing of rainbow trout intestinal epithelial cell sheets at hypo-, normo-, and hyper-thermic temperatures",,,2022,103,1,,,0,,Journal of Thermal Biology,Elsevier Ltd,,,,,Article
"Hohmann U., Walsleben C., Ghadban C., Kirchhoff F., Dehghani F., Hohmann T.",Interaction of Glia Cells with Glioblastoma and Melanoma Cells under the Influence of Phytocannabinoids,,,2022,11,1,,,0,,Cells,MDPI,,,,,Article
"Hong H., Yoon B., Ghil S.",Interactions between lysophosphatidylinositol receptor GPR55 and sphingosine-1-phosphate receptor S1P5 in live cells,,,2021,570,1,53-59,,0,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Japón P., Jiménez-Morales F., Casares F.",Intercellular communication and the organization of simple multicellular animals,,,2022,169,1,,,0,,Cells and Development,Elsevier B.V.,,,,,Article
"Wang Y., Wang Y., Duan X., Wang Y., Zhang Z.",Interleukin-1 receptor-associated kinase 1 correlates with metastasis and invasion in endometrial carcinoma,,,2018,119,3,2545-2555,,13,,Journal of Cellular Biochemistry,Wiley-Liss Inc.,,,,,Article
"Roy U., Mugler A.",Intermediate adhesion maximizes migration velocity of multicellular clusters,,,2021,103,3,,,1,,Physical Review E,American Physical Society,,,,,Article
"De Pascalis C., Pérez-González C., Seetharaman S., Boëda B., Vianay B., Burute M., Leduc C., Borghi N., Trepat X., Etienne-Manneville S.",Intermediate filaments control collective migration by restricting traction forces and sustaining cell-cell contacts,,,2018,217,9,3031-3044,,72,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Hassan A.-R., Biel T., Umulis D.M., Kim T.",Interplay Between the Persistent Random Walk and the Contact Inhibition of Locomotion Leads to Collective Cell Behaviors,,,2019,81,8,3301-3321,,1,,Bulletin of Mathematical Biology,Springer New York LLC,,,,,Article
Samanta H.S.,Interstitial flows regulate collective cell migration heterogeneity through adhesion,,,2020,2,1,,,0,,Physical Review Research,American Physical Society,,,,,Article
Kai Y.,Intestinal villus structure contributes to even shedding of epithelial cells,,,2021,120,4,699-710,,1,,Biophysical Journal,Biophysical Society,,,,,Article
"García-Solares J., Dolmans M.-M., Squifflet J.-L., Donnez J., Donnez O.",Invasion of human deep nodular endometriotic lesions is associated with collective cell migration and nerve development,,,2018,110,7,1318-1327,,15,,Fertility and Sterility,Elsevier Inc.,,,,,Article
"Kondo Y., Aoki K., Ishii S.",Inverse tissue mechanics of cell monolayer expansion,,,2018,14,3,,,6,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Pena C.D., Zhang S., Majeska R., Venkatesh T., Vazquez M.",Invertebrate retinal progenitors as regenerative models in a microfluidic system,,,2019,8,10,,,6,,Cells,MDPI,,,,,Article
"Thölmann S., Seebach J., Otani T., Florin L., Schnittler H., Gerke V., Furuse M., Ebnet K.",JAM-A interacts with α3β1 integrin and tetraspanins CD151 and CD9 to regulate collective cell migration of polarized epithelial cells,,,2022,79,2,,,1,,Cellular and Molecular Life Sciences,Springer Science and Business Media Deutschland GmbH,,,,,Article
"Pajic-Lijakovic I., Milivojevic M.",Jamming state transition and collective cell migration,,,2019,13,1,,,9,,Journal of Biological Engineering,BioMed Central Ltd.,,,,,Article
"Wang F., Chen S., Liu H.B., Parent C.A., Coulombe P.A.",Keratin 6 regulates collective keratinocyte migration by altering cell–cell and cell–matrix adhesion,,,2018,217,12,4314-4330,,33,,Journal of Cell Biology,Rockefeller University Press,,,,,Article
"Gao T., Yu L., Fang Z., Liu J., Bai C., Li S., Xue R., Zhang L., Tan Z., Fan Z.",KIF18B promotes tumor progression in osteosarcoma by activating β-catenin,,,2020,17,2,371-386,,10,,Cancer Biology and Medicine,Cancer Biology and Medicine,,,,,Article
"Girousi E., Muerner L., Parisi L., Rihs S., von Gunten S., Katsaros C., Degen M.","Lack of IRF6 Disrupts Human Epithelial Homeostasis by Altering Colony Morphology, Migration Pattern, and Differentiation Potential of Keratinocytes",,,2021,9,1,,,1,,Frontiers in Cell and Developmental Biology,Frontiers Media S.A.,,,,,Article
"Olson H.M., Nechiporuk A.V.",Lamellipodia-like protrusions and focal adhesions contribute to collective cell migration in zebrafish,,,2021,469,1,125-134,,6,,Developmental Biology,Elsevier Inc.,,,,,Article
"Yang Y., Levine H.",Leader-cell-driven epithelial sheet fingering,,,2020,17,4,,,5,,Physical Biology,Institute of Physics Publishing,,,,,Article
"Bernardi S., Eftimie R., Painter K.J.",Leadership Through Influence: What Mechanisms Allow Leaders to Steer a Swarm?,,,2021,83,6,,,2,,Bulletin of Mathematical Biology,Springer,,,,,Article
"Okimura C., Iwanaga M., Sakurai T., Ueno T., Urano Y., Iwadate Y.",Leading-edge elongation by follower cell interruption in advancing epithelial cell sheets,,,2022,119,18,,,0,,Proceedings of the National Academy of Sciences of the United States of America,NLM (Medline),,,,,Article
"Romeo N., Hastewell A.D., Mietke A., Dunkel J.",Learning developmental mode dynamics from single-cell trajectories,,,2021,10,1,,,0,,eLife,eLife Sciences Publications Ltd,,,,,Article
"LaChance J., Suh K., Clausen J., Cohen D.J.",Learning the rules of collective cell migration using deep attention networks,,,2022,18,4,,,0,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Roussigné M., Wei L., Tsingos E., Kuchling F., Alkobtawi M., Tsalavouta M., Wittbrodt J., Carl M., Blader P., Wilson S. W.",Left/right asymmetric collective migration of parapineal cells is mediated by focal FGF signaling activity in leading cells,,,2018,115,42,E9812-E9821,,10,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Berdeu A., Laperrousaz B., Bordy T., Mandula O., Morales S., Gidrol X., Picollet-D’hahan N., Allier C.",Lens-free microscopy for 3D + time acquisitions of 3D cell culture,,,2018,8,1,,,9,,Scientific Reports,Nature Publishing Group,,,,,Article
"Ma R., Gong D., You H., Xu C., Lu Y., Bergers G., Werb Z., Klein O.D., Petritsch C.K., Lu P.",LGL1 binds to Integrin β1 and inhibits downstream signaling to promote epithelial branching in the mammary gland,,,2022,38,7,,,0,,Cell Reports,Elsevier B.V.,,,,,Article
"Mkrtschjan M. A., Gaikwad S. B., Kappenman K. J., Solís C., Dommaraju S., Le L. V., Desai T. A., Russell B.",Lipid signaling affects primary fibroblast collective migration and anchorage in response to stiffness and microtopography,,,2018,233,4,3672-3683,,5,,Journal of Cellular Physiology,Wiley-Liss Inc.,,,,,Article
"Moore E.L., Trainor P.A.",Live Imaging of the Dynamics of Mammalian Neural Crest Cell Migration,Craniofacial Development,New York,2022,2403,1,263-276,,0,Dworkin S.,Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Alert R., Trepat X.",Living cells on the move,,,2021,74,6,30-36,,4,,Physics Today,American Institute of Physics Inc.,,,,,Article
"Tian Y., Li L., Lin G., Wang Y., Wang L., Zhao Q., Hu Y., Yong H., Wan Y., Zhang Y.",lncRNA SNHG14 promotes oncogenesis and immune evasion in diffuse large-B-cell lymphoma by sequestering miR-152-3p,,,2021,62,7,1574-1584,,9,,Leukemia and Lymphoma,Taylor and Francis Ltd.,,,,,Article
"Slater B., Ng E., McGuigan A.P.",Local cell coordination does not alter individual cell migration during collective migration but does impact cellular exchange events,,,2019,11,4,163-172,,1,,Integrative biology : quantitative biosciences from nano to macro,NLM (Medline),,,,,Article
"Shen R., Cai X., Shen D., Zhang R., Zhang W., Zhang Y., Li Y., Wang A., Zeng Y., Zhu J., Liu Z., Huang J.-A.",Long noncoding RNA LINC00518 contributes to proliferation and metastasis in lung adenocarcinoma via the miR-335-3p/CTHRC1 Axis,,,2022,8,1,,,1,,Cell Death Discovery,Springer Nature,,,,,Article
"Liu J., Guillemeney L., Abécassis B., Coolen L.",Long range energy transfer in self-assembled stacks of semiconducting nanoplatelets,,,2020,20,5,3465-3470,,12,,Nano Letters,American Chemical Society,,,,,Article
"Sarker B., Bagchi A., Walter C., Almeida J., Pathak A.",Longer collagen fibers trigger multicellular streaming on soft substrates via enhanced forces and cell-cell cooperation,,,2019,132,18,,,3,,Journal of cell science,NLM (Medline),,,,,Article
"Hof L., Moreth T., Koch M., Liebisch T., Kurtz M., Tarnick J., Lissek S.M., Verstegen M.M.A., van der Laan L.J.W., Huch M., Matthäus F., Stelzer E.H.K., Pampaloni F.",Long-term live imaging and multiscale analysis identify heterogeneity and core principles of epithelial organoid morphogenesis,,,2021,19,1,,,11,,BMC Biology,BioMed Central Ltd,,,,,Article
"Messina E., Vecchio A.",Long-time behaviour of the approximate solution to quasi-convolution Volterra equations,,,2020,54,1,129-143,,2,,ESAIM: Mathematical Modelling and Numerical Analysis,EDP Sciences,,,,,Article
"Rice M.A., Hsu E.-C., Aslan M., Ghoochani A., Su A., Stoyanova T.",Loss of Notch1 activity inhibits prostate cancer growth and metastasis and sensitizes prostate cancer cells to antiandrogen therapies,,,2019,18,7,1230-1242,,20,,Molecular Cancer Therapeutics,American Association for Cancer Research Inc.,,,,,Article
"Hayakawa T., Terahara M., Fujito N.T., Matsunaga T., Teshima K.M., Hane M., Kitajima K., Sato C., Takahata N., Satta Y.",Lower promoter activity of the ST8SIA2 gene has been favored in evolving human collective brains,,,2021,16,44907,,,0,,PLoS ONE,Public Library of Science,,,,,Article
"Fenner B.M., Fenner M.E., Prowse N., Hayley S.P.",LRRK2 and WAVE2 regulate microglial-transition through distinct morphological phenotypes to induce neurotoxicity in a novel two-hit in vitro model of neurodegeneration,,,2022,237,1,1013-1032,,0,,Journal of Cellular Physiology,John Wiley and Sons Inc,,,,,Article
"Ranamukhaarachchi S.K., Modi R.N., Han A., Velez D.O., Kumar A., Engler A.J., Fraley S.I.",Macromolecular crowding tunes 3D collagen architecture and cell morphogenesis,,,2019,7,2,618-633,,22,,Biomaterials Science,Royal Society of Chemistry,,,,,Article
"Schierbaum N., Hack M., Betz O., Schäffer T. E.",Macro-SICM: A Scanning Ion Conductance Microscope for Large-Range Imaging,,,2018,90,8,5048-5054,,10,,Analytical Chemistry,American Chemical Society,,,,,Article
"Stelling M.P., Soares M.A., Cardoso S.C., Motta J.M., de Abreu J.C., Antunes M.J.M., de Freitas V.G., Moraes J.A., Castelo-Branco M.T.L., Pérez C.A., Pavão M.S.G.",Manganese systemic distribution is modulated in vivo during tumor progression and affects tumor cell migration and invasion in vitro,,,2021,11,1,,,0,,Scientific Reports,Nature Research,,,,,Article
"Felix M., Prasad M.",Mapping Asymmetry in Collective Cell Migration: Lessons from Border Cells in Drosophila Oogenesis,Cell Polarity Signaling,New York,2022,2438,1,483-494,,0,"Chang C., Wang J.",Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Zhou J., Peng Z., Papautsky I.",Mapping inertial migration in the cross section of a microfluidic channel with high-speed imaging,,,2020,6,1,,,3,,Microsystems and Nanoengineering,Springer Nature,,,,,Article
"Loh A. S. L., Subramaniam R.",Mapping the knowledge structure exhibited by a cohort of students based on their understanding of how a galvanic cell produces energy,,,2018,55,6,777-809,,12,,Journal of Research in Science Teaching,John Wiley and Sons Inc.,,,,,Article
Hayashi T.,Mathematical Modeling for Angiogenesis,,,2021,370,1,81-90,,0,"Suzuki T., Poignard C., Chaplain M., Quaranta V.",Springer Proceedings in Mathematics and Statistics,Springer,International Symposium on Fusion of Mathematics and Biology,26-Oct-20,"Osaka, Japan",9789811648656,Conference Paper
"Sfakianakis N., Chaplain M.A.J.",Mathematical Modelling of Cancer Invasion: A Review,,,2021,370,1,153-172,,1,"Suzuki T., Poignard C., Chaplain M., Quaranta V.",Springer Proceedings in Mathematics and Statistics,Springer,International Symposium on Fusion of Mathematics and Biology,26-Oct-20,"Osaka, Japan",9789811648656,Conference Paper
"Krasnyakov I.V., Bratsun D.A.",MATHEMATICAL MODELLING OF THE FORMATION OF SMALL CELL GROUPS OF INVASIVE CARCINOMA,,,2021,25,2,147-158,,0,,Russian Journal of Biomechanics,Perm National Research Polytechnic University,,,,,Article
Johnston S. T.,MATHEMATICAL MODELS for QUANTIFYING COLLECTIVE CELL BEHAVIOUR,,,2018,97,2,349-352,,0,,Bulletin of the Australian Mathematical Society,Cambridge University Press,,,,,Article
"Saxena N., Mogha P., Dash S., Majumder A., Jadhav S., Sen S.",Matrix elasticity regulates mesenchymal stem cell chemotaxis,,,2018,131,7,,,27,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Wershof E., Park D., Jenkins R.P., Barry D.J., Sahai E., Bates P.A.",Matrix feedback enables diverse higher-order patterning of the extracellular matrix,,,2019,15,10,,,6,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Pérez-González C., Ceada G., Greco F., Matejčić M., Gómez-González M., Castro N., Menendez A., Kale S., Krndija D., Clark A.G., Gannavarapu V.R., Álvarez-Varela A., Roca-Cusachs P., Batlle E., Vignjevic D.M., Arroyo M., Trepat X.",Mechanical compartmentalization of the intestinal organoid enables crypt folding and collective cell migration,,,2021,23,7,745-757,,21,,Nature Cell Biology,Nature Research,,,,,Article
"He S., Li X., Ji B.",Mechanical force drives the polarization and orientation of cells,,,2019,35,2,275-288,,12,,Acta Mechanica Sinica/Lixue Xuebao,Springer Verlag,,,,,Article
"Chen T., Saw T. B., Mege R. -M., Ladoux B.",Mechanical forces in cell monolayers,,,2018,131,24,,,26,,Journal of Cell Science,Company of Biologists Ltd,,,,,Article
"Poullet N., Golushko I., Lorman V., Travnickova J., Bureau C., Chalin D., Rochal S., Parmeggiani A., Kissa K.",Mechanical instabilities of aorta drive blood stem cell production: a live study,,,2020,77,17,3453-3464,,6,,Cellular and Molecular Life Sciences,Springer,,,,,Article
"Vishwakarma M., Di Russo J., Probst D., Schwarz U. S., Das T., Spatz J. P.",Mechanical interactions among followers determine the emergence of leaders in migrating epithelial cell collectives,,,2018,9,1,,,74,,Nature Communications,Nature Publishing Group,,,,,Article
"González-Valverde I., García-Aznar J. M.",Mechanical modeling of collective cell migration: An agent-based and continuum material approach,,,2018,337,1,246-262,,9,,Computer Methods in Applied Mechanics and Engineering,Elsevier B.V.,,,,,Article
"Zhang Q., Lin F., Huang J., Xiong C.",Mechanical transmission enables EMT cancer cells to drive epithelial cancer cell migration to guide tumor spheroid disaggregation,,,2022,,,,,0,,Science China Life Sciences,Science Press (China),,,,,Article
"Nonomura K., Lukacs V., Sweet D.T., Goddard L.M., Kanie A., Whitwam T., Ranade S.S., Fujimori T., Kahn M.L., Patapoutian A.",Mechanically activated ion channel PIEZO1 is required for lymphatic valve formation,,,2018,115,50,12817-12822,,95,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Nosbisch J.L., Rahman A., Mohan K., Elston T.C., Bear J.E., Haugh J.M.",Mechanistic models of PLC/PKC signaling implicate phosphatidic acid as a key amplifier of chemotactic gradient sensing,,,2020,16,4,,,1,,PLoS Computational Biology,Public Library of Science,,,,,Article
"Bui J., Conway D.E., Heise R.L., Weinberg S.H.",Mechanochemical Coupling and Junctional Forces during Collective Cell Migration,,,2019,117,1,170-183,,14,,Biophysical Journal,Biophysical Society,,,,,Article
"Leggett S.E., Patel M., Valentin T.M., Gamboa L., Khoo A.S., Williams E.K., Franck C., Wong I.Y.",Mechanophenotyping of 3D multicellular clusters using displacement arrays of rendered tractions,,,2020,117,11,5655-5663,,11,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Logan S.M., Benson M.D.",Medial epithelial seam cell migration during palatal fusion,,,2020,235,2,1417-1424,,9,,Journal of Cellular Physiology,Wiley-Liss Inc.,,,,,Article
"Subbiah R., Hunckler M.D., García A.J., Guldberg R.E.",Mesenchymal stem cell behaviors on 3D geometric µ-cavities,,,2019,40,1,122-,,0,,Transactions of the Annual Meeting of the Society for Biomaterials and the Annual International Biomaterials Symposium,Society for Biomaterials,42nd Society for Biomaterials Annual Meeting and Exposition: The Pinnacle of Biomaterials Innovation and Excellence,3-Apr-19,"Seattle, USA",9781510883901,Conference Paper
"Tikka P., Schaefer F.",Methods of computational analysis in kidney development,Kidney Organogenesis,New York,2019,1926,1,235-246,,0,Vainio S.,Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Shih H.-C., Lee T.-A., Wu H.-M., Ko P.-L., Liao W.-H., Tung Y.-C.","Microfluidic Collective Cell Migration Assay for Study of Endothelial Cell Proliferation and Migration under Combinations of Oxygen Gradients, Tensions, and Drug Treatments",,,2019,9,1,,,14,,Scientific Reports,Nature Publishing Group,,,,,Article
"Xiong S., Gao H., Qin L., Jia Y., Gao M., Ren L.",Microgrooved collagen-based corneal scaffold for promoting collective cell migration and antifibrosis,,,2019,9,50,29463-29473,,8,,RSC Advances,Royal Society of Chemistry,,,,,Article
"D'Ovidio T.J., Friederich A.R.W., De Herrera N., Davis-Hall D., Mann E.E., Magin C.M.",Micropattern-mediated apical guidance accelerates epithelial cell migration to improve healing around percutaneous gastrostomy tubes,,,2019,5,6,,,1,,Biomedical Physics and Engineering Express,Institute of Physics Publishing,,,,,Article
"Onyeisi J.O.S., Greve B., Espinoza-Sánchez N.A., Kiesel L., Lopes C.C., Götte M.","microRNA-140-3p modulates invasiveness, motility, and extracellular matrix adhesion of breast cancer cells by targeting syndecan-4",,,2021,122,10,1491-1505,,1,,Journal of Cellular Biochemistry,John Wiley and Sons Inc,,,,,Article
"Dai H.-T., Wang S.-T., Chen B., Tang K.-Y., Li N., Wen C.-Y., Wan Y., Zhang G.-Y., Huang Y.-H., Geng Z.-J.",microRNA-375 inhibits the malignant behaviors of hepatic carcinoma cells by targeting NCAPG2,,,2022,69,1,16-27,,1,,Neoplasma,NLM (Medline),,,,,Article
"Cheng B., Wang Q., Song Y., Liu Y., Liu Y., Yang S., Li D., Zhang Y., Zhu C.","MIF inhibitor, ISO-1, attenuates human pancreatic cancer cell proliferation, migration and invasion in vitro, and suppresses xenograft tumour growth in vivo",,,2020,10,1,,,9,,Scientific Reports,Nature Research,,,,,Article
"Macabenta F., Stathopoulos A.",Migrating cells control morphogenesis of substratum serving as track to promote directional movement of the collective,,,2019,146,14,,,4,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Tlili S., Durande M., Gay C., Ladoux B., Graner F., Delanoë-Ayari H.",Migrating Epithelial Monolayer Flows like a Maxwell Viscoelastic Liquid,,,2020,125,8,,,13,,Physical Review Letters,American Physical Society,,,,,Article
"Tabata Y., Yoshino D., Funamoto K., Koens R., Kamm R.D., Funamoto K.",Migration of vascular endothelial cells in monolayers under hypoxic exposure,,,2019,11,1,26-35,,12,,Integrative biology : quantitative biosciences from nano to macro,NLM (Medline),,,,,Article
"Ammann K.R., DeCook K.J., Li M., Slepian M.J.",Migration versus proliferation as contributor to in vitro wound healing of vascular endothelial and smooth muscle cells,,,2019,376,1,58-66,,7,,Experimental Cell Research,Elsevier Inc.,,,,,Article
"Varankar S. S., Bapat S. A.",Migratory metrics of wound healing: A Quantification Approach for in vitro Scratch Assays,,,2018,8,DEC,,,14,,Frontiers in Oncology,Frontiers Media S.A.,,,,,Article
"Yue H., Camley B. A., Rappel W. -J.",Minimal Network Topologies for Signal Processing during Collective Cell Chemotaxis,,,2018,114,12,2986-2999,,4,,Biophysical Journal,Biophysical Society,,,,,Article
"Yu P. Y., Lopez G., Braggio D., Koller D., Bill K. L. J., Prudner B. C., Zewdu A., Chen J. L., Iwenofu O. H., Lev D., Strohecker A. M., Fenger J. M., Pollock R. E., Guttridge D. C.",miR-133a function in the pathogenesis of dedifferentiated liposarcoma,,,2018,18,1,,,8,,Cancer Cell International,BioMed Central Ltd.,,,,,Article
"Chen Z., Gao Y., Gao S., Song D., Feng Y.","MiR-135b-5p promotes viability, proliferation, migration and invasion of gastric cancer cells by targeting Krüppel-like factor 4 (KLF4)",,,2020,16,1,167-176,,21,,Archives of Medical Science,Termedia Publishing House Ltd.,,,,,Article
"da Cruz A.T., Hunger A., de Melo F.H.M., Monteiro A.C., Paré G.C., Lai D., Alves-Fernandes D.K., Ayub A.L.P., Cordero E.M., Filho J.F.D.S., Schneider-Stock R., Strauss B.E., Tron V., Jasiulionis M.G.","miR-138-5p induces aggressive traits by targeting Trp53 expression in murine melanoma cells, and correlates with poor prognosis of melanoma patients",,,2021,23,8,823-834,,1,,Neoplasia (United States),Elsevier Inc.,,,,,Article
"Sharma P., Yadav P., Jain R.P., Bera A.K., Karunagaran D.","miR-142-3p simultaneously targets HMGA1, HMGA2, HMGB1, and HMGB3 and inhibits tumorigenic properties and in-vivo metastatic potential of human cervical cancer cells",,,2022,291,1,,,1,,Life Sciences,Elsevier Inc.,,,,,Article
"Han H., Pan B., Liang F., Wu L., Liu X., Yang Y., Chen J.",MiR-224 promotes lymphatic metastasis by targeting ANGPTL1 in non-small-cell lung carcinoma,,,2022,34,3,431-441,,0,,Cancer Biomarkers,IOS Press BV,,,,,Article
"Dang T.T., McIntosh A.T., Morales J.C., Pearson G.W.",Mir614 expression enhances breast cancer cell motility,,,2021,22,1,44577,,0,,International Journal of Molecular Sciences,MDPI AG,,,,,Article
"Yang W., Bai J., Liu D., Wang S., Zhao N., Che R., Zhang H.",MiR-93-5p up-regulation is involved in non-small cell lung cancer cells proliferation and migration and poor prognosis,,,2018,647,1,13-20,,40,,Gene,Elsevier B.V.,,,,,Article
"Plutoni C., Keil S., Zeledon C., Delsin L.E.A., Decelle B., Roux P.P., Carréno S., Emery G.",Misshapen coordinates protrusion restriction and actomyosin contractility during collective cell migration,,,2019,10,1,,,11,,Nature Communications,Nature Publishing Group,,,,,Article
"Ashokkumar D., Zhang Q., Much C., Bledau A.S., Naumann R., Alexopoulou D., Dahl A., Goveas N., Fu J., Anastassiadis K., Stewart A.F., Kranz A.","MLL4 is required after implantation, whereas MLL3 becomes essential during late gestation",,,2020,147,12,,,4,,Development (Cambridge),Company of Biologists Ltd,,,,,Article
"Zheng Y., Nan H., Liu Y., Fan Q., Wang X., Liu R., Liu L., Ye F., Sun B., Jiao Y.",Modeling cell migration regulated by cell extracellular-matrix micromechanical coupling,,,2019,100,4,,,20,,Physical Review E,American Physical Society,,,,,Article
"Zinn-Björkman L., Adler F. R.",Modeling factors that regulate cell cooperativity in the zebrafish posterior lateral line primordium,,,2018,444,1,93-99,,1,,Journal of Theoretical Biology,Academic Press,,,,,Article
"Blanco B., Campos J., Melchor J., Soler J.","Modeling interactions among migration, growth and pressure in tumor dynamics",,,2021,9,12,,,1,,Mathematics,MDPI AG,,,,,Article
"Zheng Y., Fan Q., Eddy C.Z., Wang X., Sun B., Ye F., Jiao Y.",Modeling multicellular dynamics regulated by extracellular-matrix-mediated mechanical communication via active particles with polarized effective attraction,,,2020,102,5,,,5,,Physical Review E,American Physical Society,,,,,Article
Maini P.K.,Modelling collective cell migration,,,2020,2293,1,,,0,"Simos T.E., Tsitouras C.",AIP Conference Proceedings,American Institute of Physics Inc.,International Conference on Numerical Analysis and Applied Mathematics,23-Sep-19,"Rhodes,Greece",9780735440258,Conference Paper
"Giniūnaitė R., Baker R.E., Kulesa P.M., Maini P.K.",Modelling collective cell migration: neural crest as a model paradigm,,,2020,80,44563,481-504,,10,,Journal of Mathematical Biology,Springer,,,,,Article
"Jang H., Kim Y., Ghil S.",Modulation of G-protein-coupled receptor 55-mediated signaling by regulator of G-protein signaling 2,,,2020,533,4,1233-1239,,2,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
"Javali A., Lakshmanan V., Palakodeti D., Sambasivan R.",Modulation of β-catenin levels regulates cranial neural crest patterning and dispersal into first pharyngeal arch,,,2020,249,11,1347-1364,,0,,Developmental Dynamics,John Wiley and Sons Inc,,,,,Article
"Nerurkar N.L., Lee C.H., Mahadevan L., Tabin C.J.",Molecular control of macroscopic forces drives formation of the vertebrate hindgut,,,2019,565,7740,480-484,,15,,Nature,Nature Publishing Group,,,,,Article
"Zhang X., Chan T., Mak M.",Morphodynamic signatures of MDA-MB-231 single cells and cell doublets undergoing invasion in confined microenvironments,,,2021,11,1,,,5,,Scientific Reports,Nature Research,,,,,Article
"Kuznetsov A.V., Vainer V.I., Volkova Y.M., Kartashov L.E.",Motility disorders and disintegration into separate cells of Trichoplax sp. H2 in the presence of Zn2+ ions and L-cysteine molecules: A systems approach,,,2021,206,1,,,1,,BioSystems,Elsevier Ireland Ltd,,,,,Article
"Leggett S.E., Neronha Z.J., Bhaskar D., Sim J.Y., Perdikari T.M., Wong I.Y.",Motility-limited aggregation of mammary epithelial cells into fractal-like clusters,,,2019,116,35,17298-17306,,13,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Kota P., Terrell E.M., Ritt D.A., Insinna C., Westlake C.J., Morrison D.K.",M-Ras/Shoc2 signaling modulates E-cadherin turnover and cell–cell adhesion during collective cell migration,,,2019,116,9,3536-3545,,15,,Proceedings of the National Academy of Sciences of the United States of America,National Academy of Sciences,,,,,Article
"Kumar S., Das A., Sen S.",Multicompartment cell-based modeling of confined migration: regulation by cell intrinsic and extrinsic factors,,,2018,29,13,1599-1610,,9,,Molecular Biology of the Cell,American Society for Cell Biology,,,,,Article
"Baqai U., Purwin T.J., Chua V., Han A., Bechtel N., Hartsough E.J., Kuznetsoff J., Harbor J.W., Aplin A.E.",Multi-omics profiling shows BAP1 loss is associated with upregulated cell adhesion molecules in uveal melanoma,,,2022,36,1,,,0,,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,NLM (Medline),,,,,Article
"Wenzel D., Voigt A.",Multiphase field models for collective cell migration,,,2021,104,5,,,2,,Physical Review E,American Physical Society,,,,,Article
"Scepanovic G., Florea A., Fernandez-Gonzalez R.",Multiscale in vivo imaging of collective cell migration in drosophila embryos,The Epithelial-to Mesenchymal Transition,New York,2020,2179,1,199-224,,1,"Campbell K., Theveneau E.",Methods in Molecular Biology,Humana Press Inc.,,,,,Book Chapter
"Khataee H., Czirok A., Neufeld Z.",Multiscale modelling of motility wave propagation in cell migration,,,2020,10,1,,,2,,Scientific Reports,Nature Research,,,,,Article
"Nehwa F.J., Matsui T.S., Honghan L., Matsunaga D., Sakaguchi Y., Deguchi S.",Multi-well plate cell contraction assay detects negatively correlated cellular responses to pharmacological inhibitors in contractility and migration,,,2020,521,2,527-532,,2,,Biochemical and Biophysical Research Communications,Elsevier B.V.,,,,,Article
